央视频道IPV6,#genre#
CCTV-1,https://cntv.sbs/tv/v6.php?id=CCTV-1H265
CCTV-2,https://cntv.sbs/tv/v6.php?id=CCTV-2H265
CCTV-3,https://cntv.sbs/tv/v6.php?id=CCTV-3H265
CCTV-4,https://cntv.sbs/tv/v6.php?id=CCTV-4H265
CCTV-5,https://cntv.sbs/tv/v6.php?id=CCTV-5H265
CCTV-5+,https://cntv.sbs/tv/v6.php?id=CCTV-5plusH265
CCTV-6,https://cntv.sbs/tv/v6.php?id=CCTV-6H265
CCTV-7,https://cntv.sbs/tv/v6.php?id=CCTV-7H265
CCTV-8,https://cntv.sbs/tv/v6.php?id=CCTV-8H265
CCTV-9,https://cntv.sbs/tv/v6.php?id=CCTV-9H265
CCTV-10,https://cntv.sbs/tv/v6.php?id=CCTV-10H265
CCTV-11,https://cntv.sbs/tv/v6.php?id=CCTV-11-H265
CCTV-12,https://cntv.sbs/tv/v6.php?id=CCTV-12H265
CCTV-13,https://cntv.sbs/tv/v6.php?id=CCTV-xw
CCTV-14,https://cntv.sbs/tv/v6.php?id=CCTV-14H265
CCTV-15,https://cntv.sbs/tv/v6.php?id=CCTV-15-yyH265
CCTV-16,https://cntv.sbs/tv/v6.php?id=CCTV-16
CCTV-17,https://cntv.sbs/tv/v6.php?id=CCTV-17

港澳频道IPV6,#genre#
凤凰中文,https://cntv.sbs/tv/v6.php?id=test1
凤凰资讯,https://cntv.sbs/tv/v6.php?id=test2
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
澳门莲花,https://cntv.sbs/tv/lhws.php
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

卫视频道IPV6,#genre#
内蒙古卫视,https://cntv.sbs/tv/v6.php?id=nmgws
北京卫视,https://cntv.sbs/tv/v6.php?id=bjwsH265
湖南卫视,https://cntv.sbs/tv/v6.php?id=hnwsH265
东方卫视,https://cntv.sbs/tv/v6.php?id=dfwsH265
四川卫视,https://cntv.sbs/tv/v6.php?id=scwsH265
天津卫视,https://cntv.sbs/tv/v6.php?id=tjwsH265
安徽卫视,https://cntv.sbs/tv/v6.php?id=ahwsH265
山东卫视,https://cntv.sbs/tv/v6.php?id=sdwsH265
广东卫视,https://cntv.sbs/tv/v6.php?id=gdwsH265
广西卫视,https://cntv.sbs/tv/v6.php?id=gxws
江苏卫视,https://cntv.sbs/tv/v6.php?id=jswsH265
江西卫视,https://cntv.sbs/tv/v6.php?id=jxwsH265
河北卫视,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001229/index.m3u8?
河南卫视,https://cntv.sbs/tv/v6.php?id=hnws35
浙江卫视,https://cntv.sbs/tv/v6.php?id=zjwsH265
海南卫视,https://cntv.sbs/tv/v6.php?id=hnws
深圳卫视,https://cntv.sbs/tv/v6.php?id=szwsH265
湖北卫视,https://cntv.sbs/tv/v6.php?id=hbwsH265
山西卫视,https://cntv.sbs/tv/v6.php?id=sxws42
东南卫视,https://cntv.sbs/tv/v6.php?id=dnwsfjwsH265
贵州卫视,https://cntv.sbs/tv/v6.php?id=gzwsH265
辽宁卫视,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001035/index.m3u8?
重庆卫视,https://cntv.sbs/tv/v6.php?id=cqwsH265
黑龙江卫视,https://cntv.sbs/tv/v6.php?id=hljwsH265
宁夏卫视,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001074/index.m3u8?
陕西卫视,https://cntv.sbs/tv/v6.php?id=sxws
甘肃卫视,https://cntv.sbs/tv/v6.php?id=gsws
吉林卫视,https://cntv.sbs/tv/v6.php?id=jlwsH265
云南卫视,https://cntv.sbs/tv/v6.php?id=ynws
三沙卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?fmmv6
厦门卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000193/index.m3u8?fmmv6
青海卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000320/index.m3u8?fmmv6
新疆卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000316/index.m3u8?fmmv6
西藏卫视,https://cntv.sbs/tv/v6.php?id=xzwsH264_2000
兵团卫视,https://cntv.sbs/tv/v6.php?id=btws
康巴卫视,https://cntv.sbs/tv/v6.php?id=kbwsH264_2000
山东教育卫视,https://cntv.sbs/tv/v6.php?id=sdjy

4K超清频道,#genre#
CCTV-4K,https://cntv.sbs/tv?auth=231013&id=cctv4k
CCTV-4K,http://159.75.85.63:5679/cctv4k.php
CCTV-4K,https://cntv.sbs/tv/v6.php?id=ys4Kcq_2000
CCTV16-4K,https://cntv.sbs/tv?auth=231013&id=cctv164k
CCTV16-4K,https://cntv.sbs/tv/v6.php?id=CCTV-16-4K_8000
爱自然,https://d18dyiwu97wm6q.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/LoveNature4K2-prod/playlist.m3u8
爱自然,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8

央视,#genre#
CCTV-1 综合,https://cntv.sbs/tv?auth=231013&id=cctv1
CCTV-2 财经,https://cntv.sbs/tv?auth=231013&id=cctv2
CCTV-3 综艺,https://cntv.sbs/tv?auth=231013&id=cctv3
