央视频道		,		#genre#
CCTV-4K-SDR		,		https://freetv.top/m2k/cctv4k.m3u8
CCTV-4K-HLG		,		https://freetv.top/m4k/cctv4k.m3u8
CCTV-1	,		http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV-1	,		http://api.kkitv.itv888.cn:8080/hls/f5fuln3kthe/index.m3u8
CCTV-2	,		http://api.kkitv.itv888.cn:8080/hls/4nlkhc68gfu/index.m3u8
CCTV-3	,		http://api.kkitv.itv888.cn:8080/hls/aikp69mli0d/index.m3u8
CCTV-4	,		http://api.kkitv.itv888.cn:8080/hls/25uo2rutach/index.m3u8
CCTV-5	,		http://api.kkitv.itv888.cn:8080/hls/7vx0ia55les/index.m3u8
CCTV5+	,		http://api.kkitv.itv888.cn:8080/hls/xsb4znrv3c/index.m3u8
CCTV-6	,		http://api.kkitv.itv888.cn:8080/hls/tp9ajk4od5/index.m3u8
CCTV-7	,		http://api.kkitv.itv888.cn:8080/hls/3udggaszi1i/index.m3u8
CCTV-8	,		http://api.kkitv.itv888.cn:8080/hls/vseo1nm7qp/index.m3u8
CCTV-9	,		http://api.kkitv.itv888.cn:8080/hls/bsmkmf3jrp4/index.m3u8
CCTV-10		,		http://api.kkitv.itv888.cn:8080/hls/wd86wxjxn8/index.m3u8
CCTV-11		,		http://api.kkitv.itv888.cn:8080/hls/og4kq4cnqm/index.m3u8
CCTV-12		,		http://api.kkitv.itv888.cn:8080/hls/nwfb31kwc3l/index.m3u8
CCTV-13		,		http://api.kkitv.itv888.cn:8080/hls/9sxg4yjgot/index.m3u8
CCTV-14		,		http://api.kkitv.itv888.cn:8080/hls/dyfpqk8fpzi/index.m3u8
CCTV-15		,		http://api.kkitv.itv888.cn:8080/hls/hcwu4ianhgw/index.m3u8
CCTV-16		,		http://api.kkitv.itv888.cn:8080/hls/qazacsm0hgl/index.m3u8
CCTV-17		,		http://api.kkitv.itv888.cn:8080/hls/5t4bgijh9da/index.m3u8

